country,max_yr,min_yr,total_years,mov_avg_imports,mov_avg_unequal,mov_avg_prop_unequal,time
KWT,2015,1976,39,3294.29753673493,1495.79219597967,0.528993317264368,2007
KWT,2015,1976,39,3349.62995112452,1281.04460250174,0.450756201750831,2008
KWT,2015,1976,39,4550.12822889245,1320.60820574488,0.356396721996273,2009
KWT,2015,1976,39,6548.58156705497,3629.97354840103,0.528666756269279,2010
KWT,2015,1976,39,8264.75870049566,3572.91868124648,0.397195327653062,2011
KWT,2015,1976,39,7171.73336113295,2945.5640157224,0.332621835458236,2012
KWT,2015,1976,39,7000.25868876143,2936.20934629267,0.362773101891604,2013
KWT,2015,1976,39,6888.62334317918,3397.56167652986,0.416846620726398,2014
KWT,2015,1976,39,5226.2977743747,598.34888655155,0.224718889128006,2015
LAO,2015,1993,22,549.833332637946,,,1993
LAO,2015,1993,22,473.524499926716,,,1994
LAO,2015,1993,22,450.879599122703,,,1995
LAO,2015,1993,22,645.479593472182,,,1996
LAO,2015,1993,22,658.779589971899,,,1997
LAO,2015,1993,22,747.019591163097,,,1998
LAO,2015,1993,22,832.119991182162,,,1999
LAO,2015,1993,22,889.299992002918,,,2000
LAO,2015,1993,22,971.506660335138,,,2001
LAO,2015,1993,22,1080.27999358699,,,2002
LAO,2015,1993,22,1001.1467907652,,,2003
LAO,2015,1993,22,1074.76678808292,,,2004
LAO,2015,1993,22,1089.76012214234,,,2005
LAO,2015,1993,22,1004.15346239931,,,2006
LAO,2015,1993,22,887.220135326077,,,2007
LAO,2015,1993,22,1062.26000632734,,,2008
LAO,2015,1993,22,946.640008901966,,,2009
LAO,2015,1993,22,1205.24667373986,,,2010
LAO,2015,1993,22,1300.04666299,,,2011
LAO,2015,1993,22,1566.43999400213,,,2012
LAO,2015,1993,22,1840.41358173783,,,2013
LAO,2015,1993,22,2185.49197683478,,,2014
LAO,2015,1993,22,2242.5893042807,,,2015
LBN,2015,1976,39,2714.25001652912,,,1976
LBN,2015,1976,39,2714.25001652912,,,1977
LBN,2015,1976,39,2714.25001652912,,,1978
LBN,2015,1976,39,3210.50000663102,,,1979
LBN,2015,1976,39,,,,1980
LBN,2015,1976,39,,,,1981
LBN,2015,1976,39,,,,1982
LBN,2015,1976,39,,,,1983
LBN,2015,1976,39,,,,1984
LBN,2015,1976,39,,,,1985
LBN,2015,1976,39,,,,1986
LBN,2015,1976,39,,,,1987
LBN,2015,1976,39,,,,1988
